"Product Name*","Product Price*","Category Id*","Product Description","Product Long Description","Product Image Url","Cost Price","Side Order","Product Id","Enable","Delete","taxId","SKU","MRP","Unit Type*","Unit","Service Time","Product Name English","Product Name Arabic","Product Name French","Product Name Spanish","Product Name Malay","Product Name Chinese Simplified","Product Name Portuguese","Product Name Chinese Traditional","Product Name Bengali","Product Name Mexican Spanish","Product Name Khmer","Product Name Tamil","Product Name Sinhala","Product Name Swedish","Product Name Greek","Product Name Dutch","Product Name Korean","Product Name Brazilian Portuguese","Product Name Thai","Product Name Marathi","Product Name Hindi","Product Name RUSSIAN","Product Name Arabic-Sa","Product Name Gujrati","Product Name Telugu","Product Name Italian","Product Name Crnogorski","Product Name Latvian","Product Name Turkish","Product Name Norwegian","Product Name Lao","Product Name Vietnamses","Product Name Georgian","Product Name Romanian","Product Name French-Switzerland","Product Name Hungarian","Product Name German","Product Name ARABIC_KL","Product Name Slovak","Product Name Kannada","Product Name Kurdish","Product Description English","Product Description Arabic","Product Description French","Product Description Spanish","Product Description Malay","Product Description Chinese Simplified","Product Description Portuguese","Product Description Chinese Traditional","Product Description Bengali","Product Description Mexican Spanish","Product Description Khmer","Product Description Tamil","Product Description Sinhala","Product Description Swedish","Product Description Greek","Product Description Dutch","Product Description Korean","Product Description Brazilian Portuguese","Product Description Thai","Product Description Marathi","Product Description Hindi","Product Description RUSSIAN","Product Description Arabic-Sa","Product Description Gujrati","Product Description Telugu","Product Description Italian","Product Description Crnogorski","Product Description Latvian","Product Description Turkish","Product Description Norwegian","Product Description Lao","Product Description Vietnamses","Product Description Georgian","Product Description Romanian","Product Description French-Switzerland","Product Description Hungarian","Product Description German","Product Description ARABIC_KL","Product Description Slovak","Product Description Kannada","Product Description Kurdish","Long Description English","Long Description Arabic","Long Description French","Long Description Spanish","Long Description Malay","Long Description Chinese Simplified","Long Description Portuguese","Long Description Chinese Traditional","Long Description Bengali","Long Description Mexican Spanish","Long Description Khmer","Long Description Tamil","Long Description Sinhala","Long Description Swedish","Long Description Greek","Long Description Dutch","Long Description Korean","Long Description Brazilian Portuguese","Long Description Thai","Long Description Marathi","Long Description Hindi","Long Description RUSSIAN","Long Description Arabic-Sa","Long Description Gujrati","Long Description Telugu","Long Description Italian","Long Description Crnogorski","Long Description Latvian","Long Description Turkish","Long Description Norwegian","Long Description Lao","Long Description Vietnamses","Long Description Georgian","Long Description Romanian","Long Description French-Switzerland","Long Description Hungarian","Long Description German","Long Description ARABIC_KL","Long Description Slovak","Long Description Kannada","Long Description Kurdish"
"Hair Straightening",17,"3910557","Hair straightening involves flattening and straightening of hair in order to give it a smooth, streamlined and sleek appearance","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-400-400-APAz1529415442790-StraightHair.png",0,0,22274521,1,0,"","","0",2,"1",15,"Hair Straightening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hair straightening involves flattening and straightening of hair in order to give it a smooth, streamlined and sleek appearance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blow Dry",15,"3910557","Set your hair with a blow-dryer","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-400-400-UpWp1529415796144-Blowdry.png",0,0,22274522,1,0,"","","0",2,"1",15,"Blow Dry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Set your hair with a blow-dryer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bleach",8,"3910558","Skin bleaching is a depigmentation treatment to remove dark spots caused by aging, blemishes, disease, hormone changes and the sun. It is not intended to lighten your overall appearance for the sake of beauty.","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-400-400-0YdK1529416352585-Bleach.png",0,0,22274523,1,0,"","","0",2,"1",15,"Bleach","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Skin bleaching is a depigmentation treatment to remove dark spots caused by aging, blemishes, disease, hormone changes and the sun. It is not intended to lighten your overall appearance for the sake of beauty.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"De-Tan",80,"3910558"," Detan is a unique one of a kind face pack that combines the benefits of nature and science and is enriched with lemon peel extract.","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-400-400-nIjs1529416393821-Masks03.png,https://d2sz1kgdtrlf1n.cloudfront.net/task_images/X7Ux1554714757492-52361690.jpg",0,0,22274524,1,0,"","","0",1,"1",15,"De-Tan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," Detan is a unique one of a kind face pack that combines the benefits of nature and science and is enriched with lemon peel extract.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threading",30,"3910558","In threading, a thin (cotton or polyester) thread is doubled, then twisted. It is then rolled over areas of unwanted hair, plucking the hair at follicle level. Unlike tweezing, where single hairs are pulled out one at a time, threading can remove shor","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-400-400-sEeO1529416771585-Threading.png,https://d2sz1kgdtrlf1n.cloudfront.net/task_images/eVr31554714862753-orig.jpg",0,0,22274525,1,0,"","","0",1,"1",15,"Threading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","In threading, a thin (cotton or polyester) thread is doubled, then twisted. It is then rolled over areas of unwanted hair, plucking the hair at follicle level. Unlike tweezing, where single hairs are pulled out one at a time, threading can remove shor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haircut",50,"3910557","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/OBkS1554713063671-peluquero1.jpg",0,0,22274537,1,0,"","","0",2,"1",15,"Haircut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shampoo and Conditioning",40,"3910557","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/GLtm1554713360953-bestshampoosandconditioners.jpg",0,0,22274538,1,0,"","","0",1,"1",15,"Shampoo and Conditioning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Massage",60,"3910558","Hot oil massage","Scalp relaxing hot oil massage when you feel the badly needed on a particular day.","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/8atu1554713826564-FacialMassage.jpg",300,0,22274539,1,0,"","","",1,"1",15,"Massage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hot oil massage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scalp relaxing hot oil massage when you feel the badly needed on a particular day.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Facial",80,"3910558","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/1EmU1554713687503-facial1600x413.jpg",500,0,22274540,1,0,"","","0",1,"1",15,"Facial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bridal Makeup",250,"3910560","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/XL7U1554714513169-bridalmakeup2.jpg",1250,0,22274541,1,0,"","","0",1,"1",15,"Bridal Makeup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Party Makeup",40,"3910560","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/kmFJ1554714635231-cea0171d74af97a8047afec827eeb1dd.jpg",600,0,22274542,1,0,"","","0",1,"1",15,"Party Makeup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nail Art with flowers",70,"3910559","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/ivTK1554714952572-1000x1.jpg",0,0,22274543,1,0,"","","0",1,"1",15,"Nail Art with flowers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nail Paint",30,"3910559","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/vkTg1554715038907-89612944woman.jpg",0,0,22274544,1,0,"","","0",1,"1",15,"Nail Paint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Simple Nail Art",40,"3910559","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/cOdp1554715099514-25AmazingNailArtDesignsForBeginners.jpg",0,0,22274545,1,0,"","","0",1,"1",15,"Simple Nail Art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Simple makeup",60,"3910560","","","https://d2sz1kgdtrlf1n.cloudfront.net/task_images/tmbX1554715338948-2971d7dc595a05fe5d8590bfe2a488bf.jpg",0,0,22274546,1,0,"","","0",1,"1",15,"Simple makeup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""